registered at: ,2026-06-18 09:56:45.323676
0.4342,b,[ 3.3716365   0.26425727 -0.63544851  2.9933695  -0.70123265  0.        ]
0.4343,coefficients,"[ 4.61825269e+00  2.57330196e-18 -1.42981925e+01 -9.76508943e-01
 -3.24789020e+00]"
0.4348,r_i,[-0.4  2. ]
0.4349,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    1.    0.    0.    0.  ]]"
0.4351,W,[0.00386592 0.06217652 0.00386592 0.06217652 0.06217652 1.        ]
0.4352,b,[0.96548991 0.06578414 1.62049479 0.70123265 1.48023628 0.        ]
0.4353,coefficients,"[-9.73754545e-01  4.28883660e-19 -1.37235745e+01 -3.87496108e-01
 -1.00108918e+00]"
0.4358,r_i,[0. 2.]
0.4359,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    1.    0.    0.    0.  ]]"
0.4361,W,[0.00386592 0.06217652 0.00386592 0.06217652 0.06217652 1.        ]
0.4362,b,[-1.41445214  0.14025851  2.32719634 -1.48023628  2.77627013  0.        ]
0.4363,coefficients,"[-5.32063302e+00  1.07220915e-18 -7.88280657e+00 -1.60893102e+00
 -1.31842143e+00]"
0.4367,r_i,[0.4 2. ]
0.4368,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    1.    0.    0.    0.  ]]"
0.4371,W,[0.00386592 0.06217652 0.00386592 0.06217652 0.06217652 1.        ]
0.4372,b,[-2.63601162 -0.44907379  2.47781163 -2.77627013  2.61137617  0.        ]
0.4373,coefficients,"[-6.73455788e+00 -1.95678170e-18  7.34240302e-01 -8.55697044e-01
  5.02072849e+00]"
0.4377,r_i,[0.8 2. ]
0.4379,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    1.    0.    0.    0.  ]]"
0.4381,W,[0.00386592 0.06217652 0.00386592 0.06217652 0.06217652 1.        ]
0.4382,b,[-3.06044996 -0.13356454  2.33347886 -2.61137617  2.29645824  0.        ]
0.4383,coefficients,"[-6.13479302e+00  1.07220915e-19  2.01570155e+00  1.51904503e+00
  1.76448567e+00]"
0.4387,r_i,[1.2 2. ]
0.4389,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    1.    0.    0.    0.  ]]"
0.4391,W,[0.00386592 0.06217652 0.00386592 0.06217652 0.06217652 1.        ]
0.4392,b,[-2.43002278  0.03702062  1.4456914  -2.29645824  1.45252395  0.        ]
